slope_ET,slope_Q,slope_Sed,model
0.747510627,0.027389742,0.001327426,CNRM_CM5_RCP45
-0.036256742,0.379212109,0.035985795,CNRM_CM5_RCP45
0.413228813,0.034255467,9.27E-06,CNRM_CM5_RCP45
-0.517493118,-0.055839624,-0.000356284,CNRM_CM5_RCP45
-0.632083503,0.033746942,0.000120846,CNRM_CM5_RCP45
1.931335806,0.045793107,7.40E-05,CNRM_CM5_RCP45
-0.970434822,0.050510638,0.000242883,CNRM_CM5_RCP45
1.054871998,0.024591447,0.000114865,CNRM_CM5_RCP45
-1.297133413,0.104084828,0.000688937,CNRM_CM5_RCP45
-0.876473479,0.147074866,0.00118731,CNRM_CM5_RCP45
-0.162004008,0.191420338,0.002810918,CNRM_CM5_RCP45
0.268814166,-0.020724424,-0.00052855,CNRM_CM5_RCP45
-0.537329098,0.054553964,0.000103645,CNRM_CM5_RCP45
-0.732347932,0.057635404,0.000280529,CNRM_CM5_RCP45
-0.264608346,0.021897356,-2.94E-05,CNRM_CM5_RCP45
-0.336161399,0.165017229,0.000747842,CNRM_CM5_RCP45
-0.229179478,0.161185722,0.000704802,CNRM_CM5_RCP45
-0.040632614,0.174279528,0.000237081,CNRM_CM5_RCP45
-0.107193621,0.49527296,0.005134537,CNRM_CM5_RCP45
1.97016894,0.109820477,7.29E-05,CNRM_CM5_RCP45
-0.180700397,0.199830931,3.89E-05,CNRM_CM5_RCP45
0.302082899,0.432349586,0.007347333,CNRM_CM5_RCP45
0.072036695,0.399614881,0.193623955,CNRM_CM5_RCP45
0.272529511,0.364948457,0.000255087,CNRM_CM5_RCP45
0.483892721,0.442104092,0.007674435,CNRM_CM5_RCP45
0.46626364,0.314681032,0.00453603,CNRM_CM5_RCP45
-0.457616134,0.295173295,0.022536561,CNRM_CM5_RCP45
-0.043951705,0.330050822,0.043580272,CNRM_CM5_RCP45
1.455468269,0.139759604,-0.000149419,CNRM_CM5_RCP45
0.297297859,0.03669995,4.47E-07,CNRM_CM5_RCP45
-0.202585409,0.152951521,0.002058,CNRM_CM5_RCP45
1.985626878,0.097058961,1.55E-06,CNRM_CM5_RCP45
-3.390801129,-0.00145881,2.18E-07,CNRM_CM5_RCP45
-3.306379042,-0.472812047,3.45E-05,CNRM_CM5_RCP45
0.395581675,-0.194453645,-0.001317369,CNRM_CM5_RCP45
-0.281916939,-0.227057228,-0.000878796,CNRM_CM5_RCP45
1.738220807,0.108669041,1.57E-05,CNRM_CM5_RCP45
-0.152423932,0.024204411,-0.000497864,CNRM_CM5_RCP45
-0.247667073,0.15293594,-0.003679433,CNRM_CM5_RCP45
0.520078695,0.008866095,9.45E-06,CNRM_CM5_RCP45
-3.140980853,0.005491139,1.65E-06,CNRM_CM5_RCP45
3.24039361,0.001311762,0,CNRM_CM5_RCP45
1.72257675,0.002015105,0,CNRM_CM5_RCP45
1.85049806,0.001400727,0,CNRM_CM5_RCP45
-0.038121948,-0.014966341,-0.00159247,CNRM_CM5_RCP45
-0.982034146,-0.306804288,-0.0003465,CNRM_CM5_RCP45
-0.075395595,0.019574435,7.65E-05,CNRM_CM5_RCP45
0.363014462,0.026551358,0.00084299,CNRM_CM5_RCP45
-0.373262282,-0.099634135,-0.001512595,CNRM_CM5_RCP45
-1.379616777,0.01361828,0.000366123,CNRM_CM5_RCP45
0.768461756,0.044648871,0.00053466,CNRM_CM5_RCP45
-0.132115519,0.04226113,0.000142867,CNRM_CM5_RCP45
-0.762295835,-0.254541039,-0.000219013,CNRM_CM5_RCP45
1.189406284,0.036223809,0.000134571,CNRM_CM5_RCP45
-0.182198122,0.007818767,5.66E-05,CNRM_CM5_RCP45
0.830934772,0.017869426,2.87E-05,CNRM_CM5_RCP45
-0.597893862,0.0037705,0.00033561,CNRM_CM5_RCP45
-2.408164529,-0.353262964,-8.40E-05,CNRM_CM5_RCP45
0.40471198,0.000758805,0,CNRM_CM5_RCP45
3.261666458,0.16499129,-1.61E-05,CNRM_CM5_RCP45
-0.137607731,0.069436958,0.000365312,CNRM_CM5_RCP45
-0.161286516,0.012268225,-0.002376705,CNRM_CM5_RCP45
-0.272882597,0.126839524,3.07E-05,CNRM_CM5_RCP45
-0.038734353,0.143034045,-0.00045303,CNRM_CM5_RCP45
-0.85823324,-0.709942822,-0.011246215,CNRM_CM5_RCP45
-0.371647451,-0.018314009,-0.000320321,CNRM_CM5_RCP45
-0.120517157,0.017882027,-0.001041072,CNRM_CM5_RCP45
-0.140403673,0.040393571,-0.000936438,CNRM_CM5_RCP45
-0.287353779,0.072378678,0.000675464,CNRM_CM5_RCP45
-0.496605233,0.089592928,0.000112662,CNRM_CM5_RCP45
-0.193413378,-0.03616638,-0.002973602,CNRM_CM5_RCP45
-0.302565905,0.003221322,1.24E-05,CNRM_CM5_RCP45
2.261475442,0.032227231,3.35E-07,CNRM_CM5_RCP45
-0.062488422,-0.052099385,8.37E-05,CNRM_CM5_RCP45
-0.423029031,0.054816894,0.00113149,CNRM_CM5_RCP45
0.792110297,0.089203142,0.000216771,CNRM_CM5_RCP45
0.669316916,-0.383988176,-0.004611181,CNRM_CM5_RCP45
-0.189550576,0.012099279,-0.000808005,CNRM_CM5_RCP45
-0.659007899,0.075553829,0.000502214,CNRM_CM5_RCP45
-0.459110487,-0.409719807,-0.006200252,CNRM_CM5_RCP45
-0.436829511,0.083583816,0.000137478,CNRM_CM5_RCP45
-0.297380842,0.021622674,0,CNRM_CM5_RCP45
-0.469827426,-0.139089339,-0.000657608,CNRM_CM5_RCP45
-0.501714971,0.01556837,1.00E-05,CNRM_CM5_RCP45
0.047849201,0.11475819,2.24E-05,CNRM_CM5_RCP45
0.388548049,0.034087511,-0.000632513,CNRM_CM5_RCP45
1.785266391,0.05407708,0.000219566,CNRM_CM5_RCP45
-0.440796819,-0.114119924,-0.000300056,CNRM_CM5_RCP45
2.123154411,0.322110063,-0.0001312,CNRM_CM5_RCP45
0.961577728,0.05420459,-6.93E-07,CNRM_CM5_RCP45
2.10428125,0.075644644,0,CNRM_CM5_RCP45
-0.373322026,-0.261527208,-0.003570556,CNRM_CM5_RCP45
-0.288587427,0.043805859,7.10E-05,CNRM_CM5_RCP45
0.398592895,0.092750056,-0.00036619,CNRM_CM5_RCP45
3.37487623,0.01429792,2.29E-05,CNRM_CM5_RCP45
0.277747803,0.003048317,2.82E-05,CNRM_CM5_RCP45
0.596046623,-0.149435264,-0.000359884,CNRM_CM5_RCP45
0.411667811,0.090834246,-0.000217308,CNRM_CM5_RCP45
-0.587673133,-0.195904696,-0.002891095,CNRM_CM5_RCP45
-0.356425352,-0.190082765,-2.87E-05,CNRM_CM5_RCP45
1.830204271,0.016954428,8.18E-05,CNRM_CM5_RCP45
1.916988747,0.109691016,-0.000120684,CNRM_CM5_RCP45
2.563375184,0.41725284,0.010782234,CNRM_CM5_RCP45
0.371369426,0.037723854,2.48E-06,CNRM_CM5_RCP45
